Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	13.630270601	14.031160913	2303.000	5616.200
2	Spectrogram 1	1	28.329582034	28.930917502	3151.500	7393.900
3	Spectrogram 1	1	64.055665321	65.458781412	424.200	7292.900
4	Spectrogram 1	1	74.762777399	76.065670912	585.900	7939.400
5	Spectrogram 1	1	81.795061618	82.680361057	3292.900	7757.600
6	Spectrogram 1	1	85.359682141	87.414244989	3333.300	4040.400
7	Spectrogram 1	1	87.698208960	89.218251392	929.300	7878.800
8	Spectrogram 1	1	98.422024800	99.658103262	1979.800	7676.800
9	Spectrogram 1	1	101.963222555	102.497742970	4282.800	4828.300
10	Spectrogram 1	1	111.758346673	112.977721372	3030.300	7434.300
11	Spectrogram 1	1	119.943190539	120.327377088	2020.200	7737.400
12	Spectrogram 1	1	135.985522017	137.839639709	3555.600	4000.000
13	Spectrogram 1	1	137.956566050	138.608012806	4969.700	6444.400
14	Spectrogram 1	1	140.278389105	141.063465966	3292.900	4707.100
15	Spectrogram 1	1	142.616915924	143.034509999	4343.400	5151.500
16	Spectrogram 1	1	143.418696548	144.053439542	4545.500	5575.800
17	Spectrogram 1	1	158.385268189	158.903084841	2646.500	3030.300
18	Spectrogram 1	1	159.604642887	160.373015985	3878.800	6343.400
19	Spectrogram 1	1	161.041166504	161.341834238	7818.200	8141.400
20	Spectrogram 1	1	179.672581245	180.975474759	3393.900	4262.600
21	Spectrogram 1	1	181.276142493	181.910885486	5272.700	5656.600
22	Spectrogram 1	1	190.820710166	191.722713368	2363.600	7818.200
23	Spectrogram 1	1	192.440975176	192.925384303	3292.900	3939.400
24	Spectrogram 1	1	193.192644511	193.576831060	1818.200	2484.800
25	Spectrogram 1	1	195.531171330	196.199321849	5030.300	5474.700
26	Spectrogram 1	1	203.114679728	203.782830248	3979.800	4343.400
27	Spectrogram 1	1	218.238304241	218.772824657	4181.800	4626.300
28	Spectrogram 1	1	228.561229770	230.866349063	2424.200	7515.200
29	Spectrogram 1	1	233.037838252	234.190397898	5393.900	7393.900
30	Spectrogram 1	1	242.308426712	242.742724550	4565.700	5111.100
31	Spectrogram 1	1	256.012231371	258.250535612	3212.100	3959.600
32	Spectrogram 1	1	260.238283408	261.374139291	3596.000	4040.400
33	Spectrogram 1	1	269.375241764	270.126911099	5212.100	5596.000
34	Spectrogram 1	1	277.015580457	277.683730976	2484.800	2909.100
35	Spectrogram 1	1	278.953216964	279.905331454	3050.500	3697.000
36	Spectrogram 1	1	283.246084053	284.615792618	4525.300	7353.500
37	Spectrogram 1	1	323.158092845	323.926465943	2646.500	3333.300
38	Spectrogram 1	1	327.040084865	329.061240187	2121.200	5232.300
39	Spectrogram 1	1	332.786179334	335.208224968	4101.000	5434.300
40	Spectrogram 1	1	336.995527608	337.463232971	1474.700	8262.600
41	Spectrogram 1	1	338.014457150	338.782830248	2888.900	3313.100
42	Spectrogram 1	1	340.286168917	341.371913512	3111.100	3535.400
43	Spectrogram 1	1	340.854096859	341.705988771	3899.000	4242.400
44	Spectrogram 1	1	342.090175320	346.934266588	3535.400	4686.900
45	Spectrogram 1	1	350.007758978	351.828469144	4747.500	9353.500
46	Spectrogram 1	1	352.570153721	353.455453160	2848.500	7252.500
47	Spectrogram 1	1	353.655898316	355.008903118	5232.300	5717.200
48	Spectrogram 1	1	355.226052037	358.783953554	2444.400	6222.200
49	Spectrogram 1	1	366.718240975	368.472136089	2848.500	4989.900
50	Spectrogram 1	1	399.631373074	400.216004779	3515.200	3939.400
51	Spectrogram 1	1	406.670376299	407.622490790	2464.600	6505.100
52	Spectrogram 1	1	409.510016008	410.629168128	2383.800	7333.300
53	Spectrogram 1	1	424.576810226	424.860774197	3878.800	5676.800
54	Spectrogram 1	1	442.640297026	443.492188938	343.400	7272.700
55	Spectrogram 1	1	476.121357067	480.130260185	1697.000	7171.700
56	Spectrogram 1	1	480.397520393	481.032263386	4565.700	7818.200
57	Spectrogram 1	1	481.767228958	484.940943926	4666.700	5656.600
58	Spectrogram 1	1	492.748320249	493.867472369	3717.200	4909.100
59	Spectrogram 1	1	494.401992785	498.477710955	2888.900	7212.100
60	Spectrogram 1	1	500.047864676	500.849645300	3090.900	4727.300
61	Spectrogram 1	1	501.968797420	503.305098460	3616.200	5838.400
62	Spectrogram 1	1	503.789507586	504.891955944	3030.300	3737.400
63	Spectrogram 1	1	507.046741370	507.464335445	3212.100	3656.600
64	Spectrogram 1	1	507.731595652	510.537827835	1798.000	7373.700
65	Spectrogram 1	1	517.276163326	518.077943950	5434.300	5878.800
66	Spectrogram 1	1	518.295092868	519.080169729	4121.200	4707.100
67	Spectrogram 1	1	519.197096070	519.648097671	3717.200	4424.200
68	Spectrogram 1	1	519.815135301	522.754997587	6020.200	8020.200
69	Spectrogram 1	1	538.105755777	538.723795007	2848.500	3535.400
70	Spectrogram 1	1	552.410895903	553.680381890	5030.300	5393.900
71	Spectrogram 1	1	554.131383491	555.334054427	3596.000	4161.600
72	Spectrogram 1	1	555.935389894	557.338505986	4727.300	5676.800
73	Spectrogram 1	1	557.538951141	559.944293012	3434.300	4383.800
74	Spectrogram 1	1	560.178145694	561.247186526	5070.700	5939.400
75	Spectrogram 1	1	561.364112867	562.516672513	3717.200	7858.600
76	Spectrogram 1	1	591.337382679	591.771680517	2525.300	7697.000
