Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	14.699311433	15.183720560	449.7	3434.4
2	Spectrogram 1	1	16.336280206	17.054542015	2085.2	5478.7
3	Spectrogram 1	1	276.698208960	277.917583658	4095.7	5531.1
4	Spectrogram 1	1	309.243858273	309.661452348	1569.4	3081.3
5	Spectrogram 1	1	324.093503573	324.644727751	1741.6	3502.4
6	Spectrogram 1	1	343.944293012	344.428702139	1703.3	3406.7
7	Spectrogram 1	1	405.277244966	405.744950329	1722.5	3349.3
8	Spectrogram 1	1	419.716015196	420.217128086	1837.3	2545.5
9	Spectrogram 1	1	476.672581245	477.507769395	1645.9	4861.2
10	Spectrogram 1	1	480.314001578	480.865225756	2449.8	3502.4
11	Spectrogram 1	1	498.628044822	499.663678127	2756.0	5473.7
12	Spectrogram 1	1	509.184823033	509.702639685	4038.3	4306.2
13	Spectrogram 1	1	509.986603656	510.537827835	1933.0	3636.4
14	Spectrogram 1	1	512.458760579	512.926465943	2047.8	3559.8
15	Spectrogram 1	1	514.479915901	515.432030392	497.6	3789.5
16	Spectrogram 1	1	530.655877482	531.374139291	1818.2	3311.0
17	Spectrogram 1	1	549.003328253	549.738293824	3368.4	4363.6
18	Spectrogram 1	1	750.648076837	751.099078438	1722.5	3445.0
19	Spectrogram 1	1	787.042310644	787.476608482	478.5	3732.1
20	Spectrogram 1	1	810.427578833	810.828469144	1760.8	2507.2
21	Spectrogram 1	1	868.760572453	869.144759001	555.0	3464.1
22	Spectrogram 1	1	922.760572453	923.178166527	1512.0	3540.7
23	Spectrogram 1	1	984.494414718	985.079046423	478.5	2564.6
24	Spectrogram 1	1	1124.288394697	1124.655877482	612.4	2545.5
25	Spectrogram 1	1	1166.478834261	1167.280614885	4823.0	5454.5
26	Spectrogram 1	1	1288.459883885	1289.562332243	5014.4	5358.9
27	Spectrogram 1	1	1359.487737379	1359.972146506	669.9	2564.6
28	Spectrogram 1	1	1547.986624490	1548.437626090	5014.4	5875.6
29	Spectrogram 1	1	1548.170365883	1548.554552431	765.6	3100.5
30	Spectrogram 1	1	1551.060116880	1551.410895903	497.6	2373.2
31	Spectrogram 1	1	1552.262787816	1552.747196942	593.3	2507.2
32	Spectrogram 1	1	1569.858569251	1570.359682141	956.9	2660.3
33	Spectrogram 1	1	1611.791733366	1612.342957545	1665.1	2545.5
34	Spectrogram 1	1	1652.612464365	1653.163688544	708.1	2832.5
35	Spectrogram 1	1	1667.595739769	1667.913111266	4076.6	4574.2
36	Spectrogram 1	1	1693.727144093	1694.311775798	4823.0	5531.1
37	Spectrogram 1	1	1850.615792618	1851.133609271	459.3	2162.7
38	Spectrogram 1	1	1850.799534011	1851.634722160	5167.5	5435.4
39	Spectrogram 1	1	1949.161462764	1949.579056839	612.4	2430.6
40	Spectrogram 1	1	2003.044536424	2003.495538024	421.1	5492.8
41	Spectrogram 1	1	2019.514446733	2020.115782201	880.4	2334.9
42	Spectrogram 1	1	2100.948744571	2102.401971952	4956.9	5626.8
43	Spectrogram 1	1	2136.674827858	2137.743868690	5071.8	5531.1
44	Spectrogram 1	1	2137.827387505	2138.378611683	421.1	3808.6
45	Spectrogram 1	1	2160.360763781	2160.828469144	459.3	2162.7
46	Spectrogram 1	1	2261.695962347	2262.130260185	555.0	2468.9
47	Spectrogram 1	1	2490.030058440	2490.514467567	574.2	2736.8
48	Spectrogram 1	1	2561.936492367	2563.038940725	4842.1	5473.7
49	Spectrogram 1	1	2564.241611660	2564.809539602	459.3	2220.1
50	Spectrogram 1	1	2612.128034405	2612.629147295	497.6	2392.3
51	Spectrogram 1	1	2612.278368272	2613.080148896	5148.3	5531.1
52	Spectrogram 1	1	2804.986603656	2805.437605257	421.1	2181.8
53	Spectrogram 1	1	2866.226052037	2866.743868690	4344.5	4631.6
54	Spectrogram 1	1	2881.543402700	2882.111330642	4287.1	4612.4
55	Spectrogram 1	1	2983.179269001	2983.930938335	2124.4	4746.4
56	Spectrogram 1	1	3009.561229770	3010.062342660	535.9	3521.5
57	Spectrogram 1	1	3016.159216152	3017.946518792	650.7	3349.3
58	Spectrogram 1	1	3043.276142493	3043.894181723	459.3	3598.1
59	Spectrogram 1	1	3045.230482763	3045.781706941	612.4	2602.9
60	Spectrogram 1	1	3051.644727751	3052.279470745	593.3	3445.0
61	Spectrogram 1	1	3053.989973576	3055.025606881	4880.4	5531.1
62	Spectrogram 1	1	3054.040084865	3054.591309043	459.3	3272.7
63	Spectrogram 1	1	3057.430948752	3057.831839064	631.6	2334.9
64	Spectrogram 1	1	3059.251658918	3059.802883097	478.5	3502.4
65	Spectrogram 1	1	3060.738293824	3061.205999188	669.9	2679.4
66	Spectrogram 1	1	3063.711563637	3064.262787816	612.4	2449.8
67	Spectrogram 1	1	3094.085723761	3094.636947940	401.9	2698.6
68	Spectrogram 1	1	3102.537827835	3102.955421910	880.4	2794.3
69	Spectrogram 1	1	3106.496619664	3107.164770184	382.8	2277.5
70	Spectrogram 1	1	3110.946539625	3111.380837463	669.9	2526.3
71	Spectrogram 1	1	3113.936513201	3114.437626090	1301.4	3043.1
72	Spectrogram 1	1	3161.271711767	3161.923158524	1263.2	2870.8
73	Spectrogram 1	1	3172.062342660	3172.530048023	4976.1	5645.9
74	Spectrogram 1	1	3172.079046423	3172.530048023	574.2	3004.8
75	Spectrogram 1	1	3183.571235361	3184.590164903	401.9	5416.3
76	Spectrogram 1	1	3204.524473158	3205.760551619	4516.7	5358.9
77	Spectrogram 1	1	3218.796205758	3219.681505197	363.6	3846.9
78	Spectrogram 1	1	3225.778378689	3226.162565238	631.6	4325.4
79	Spectrogram 1	1	3226.212676527	3226.797308231	1607.7	5760.8
80	Spectrogram 1	1	3230.188172119	3230.806211349	421.1	2813.4
81	Spectrogram 1	1	3231.507769395	3232.075697337	421.1	2679.4
82	Spectrogram 1	1	3232.977700538	3233.445405902	593.3	2679.4
83	Spectrogram 1	1	3234.030037607	3234.831818230	631.6	3272.7
84	Spectrogram 1	1	3240.861876670	3241.596842242	516.7	3215.3
85	Spectrogram 1	1	3242.589083264	3243.724939147	516.7	3215.3
86	Spectrogram 1	1	3244.526719771	3245.128055238	516.7	3138.8
87	Spectrogram 1	1	3250.924260997	3251.358558834	1856.5	2583.7
88	Spectrogram 1	1	3252.160339458	3252.811786215	535.9	2698.6
89	Spectrogram 1	1	3255.250535612	3255.785056027	382.8	1301.4
90	Spectrogram 1	1	3256.586836651	3257.321802223	1148.3	4861.2
91	Spectrogram 1	1	3260.695962347	3261.781706941	401.9	2832.5
92	Spectrogram 1	1	3262.416449935	3263.301749374	1129.2	5913.9
