Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	20.552696850	21.246784173	402.600	1111.800
2	Spectrogram 1	1	23.753210618	24.254495907	383.400	2990.400
3	Spectrogram 1	1	25.940943926	26.592390683	402.600	3009.600
4	Spectrogram 1	1	140.137262801	140.831350125	4255.600	4389.800
5	Spectrogram 1	1	151.648332298	152.226738400	4428.100	4792.300
6	Spectrogram 1	1	157.779436987	158.357843089	4581.500	4734.800
7	Spectrogram 1	1	164.296145744	164.913112253	4639.000	4849.800
8	Spectrogram 1	1	166.879693003	167.265297071	1226.800	1504.800
9	Spectrogram 1	1	182.495533293	185.079080552	4159.700	4408.900
10	Spectrogram 1	1	261.680431109	263.030045349	4562.300	4754.000
11	Spectrogram 1	1	321.924137157	322.541103666	2166.100	3891.400
12	Spectrogram 1	1	323.312311803	323.890717906	2127.800	4677.300
13	Spectrogram 1	1	338.809770286	339.388176389	1169.300	1533.500
14	Spectrogram 1	1	358.667159863	359.284126373	690.100	2626.200
15	Spectrogram 1	1	358.821401491	359.669730441	5405.800	5578.300
16	Spectrogram 1	1	359.997493899	360.498779188	4552.700	4801.900
17	Spectrogram 1	1	360.209576137	360.903663460	479.200	2990.400
18	Spectrogram 1	1	364.605462518	365.299549841	632.600	2971.200
19	Spectrogram 1	1	379.489779561	379.991064850	651.800	1111.800
20	Spectrogram 1	1	396.250451612	396.905978529	594.200	3010.753
21	Spectrogram 1	1	401.494666943	401.995952232	575.100	2837.100
22	Spectrogram 1	1	410.402230343	411.211998887	3450.500	4389.800
23	Spectrogram 1	1	412.831535974	415.029479165	4600.600	5348.200
24	Spectrogram 1	1	413.718425332	414.489633469	536.700	3935.484
25	Spectrogram 1	1	415.376522826	416.263412184	460.100	3913.978
26	Spectrogram 1	1	418.022619284	418.408223353	2262.000	2607.000
27	Spectrogram 1	1	418.253981725	418.562464980	3258.800	4217.300
28	Spectrogram 1	1	419.063750269	419.796397999	594.200	2990.400
29	Spectrogram 1	1	421.261693459	422.842670140	4830.700	5367.400
30	Spectrogram 1	1	421.955780783	422.649868106	536.700	2688.172
31	Spectrogram 1	1	424.115163566	425.271975772	4754.000	5348.200
