Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	19.241643017	20.679258584	421.700	2568.493
2	Spectrogram 1	1	37.480715456	38.859556561	498.400	2445.205
3	Spectrogram 1	1	57.934870031	59.512126624	554.795	2453.700
4	Spectrogram 1	1	74.946403628	76.405304911	575.342	2239.726
5	Spectrogram 1	1	93.715001478	94.910374090	1476.000	1782.700
6	Spectrogram 1	1	113.689292225	114.421939955	555.900	2147.000
7	Spectrogram 1	1	130.797221421	132.223956475	421.700	2415.300
8	Spectrogram 1	1	153.375941401	155.034038895	575.100	2415.300
9	Spectrogram 1	1	176.840598693	177.727488050	536.700	2281.200
10	Spectrogram 1	1	196.513192433	197.368470096	536.700	2415.300
11	Spectrogram 1	1	219.006562175	220.075603007	390.411	2527.397
12	Spectrogram 1	1	241.722954879	243.149689932	390.411	2486.301
13	Spectrogram 1	1	259.769225283	260.964597896	1150.200	2434.500
14	Spectrogram 1	1	277.911915025	279.528465154	554.795	2415.300
15	Spectrogram 1	1	298.406223212	299.871518672	369.863	2453.700
16	Spectrogram 1	1	331.651285186	333.116580646	1207.700	2434.500
17	Spectrogram 1	1	351.183562950	352.378935562	517.600	2492.000
