Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	9.987145374	11.105397172	2722.000	2971.200
2	Spectrogram 1	1	135.655410299	136.760808756	1763.600	2894.600
3	Spectrogram 1	1	146.118135235	146.837929579	2664.500	2971.200
4	Spectrogram 1	1	170.796767730	171.490855134	2722.000	2971.200
5	Spectrogram 1	1	232.647607601	233.393108886	1801.900	2952.100
6	Spectrogram 1	1	389.228437422	390.153887294	2664.500	3086.300
7	Spectrogram 1	1	487.505971700	488.302886867	1667.700	2894.600
8	Spectrogram 1	1	502.981532163	503.701326507	1035.100	1322.700
9	Spectrogram 1	1	511.824719823	512.158910055	920.100	1322.700
10	Spectrogram 1	1	511.927547587	512.775876636	1782.700	2741.200
11	Spectrogram 1	1	657.829318418	658.214922532	2587.900	2913.700
12	Spectrogram 1	1	723.989142498	724.837471547	1782.700	2932.900
13	Spectrogram 1	1	736.784854610	737.221872605	2511.200	3009.600
14	Spectrogram 1	1	758.121590972	758.588929635	2197.487	2837.100
15	Spectrogram 1	1	771.694855754	772.286115394	2204.500	2856.200
16	Spectrogram 1	1	780.897924139	781.334942133	575.100	901.000
17	Spectrogram 1	1	782.029029537	782.748823881	1878.600	2798.700
18	Spectrogram 1	1	787.427487121	789.329800745	1723.519	3028.800
19	Spectrogram 1	1	839.715354018	840.332320599	1878.600	2894.600
20	Spectrogram 1	1	841.900443992	842.465996692	1859.400	2664.500
21	Spectrogram 1	1	848.944135823	849.741050990	1821.100	3067.100
22	Spectrogram 1	1	850.178068985	851.154932738	1686.900	2779.600
23	Spectrogram 1	1	856.784737338	859.535380012	1763.600	3067.100
24	Spectrogram 1	1	864.419698778	865.550804176	1782.700	2415.300
25	Spectrogram 1	1	930.615005735	932.363077715	1763.600	3182.100
26	Spectrogram 1	1	975.730632142	977.093100008	2722.000	2990.400
27	Spectrogram 1	1	1106.475982440	1107.838450306	1821.100	3009.600
28	Spectrogram 1	1	1110.691897915	1111.283157555	2262.000	2990.400
29	Spectrogram 1	1	1111.745882490	1112.954108712	2626.200	2971.200
30	Spectrogram 1	1	1133.019825149	1134.279465252	1725.200	3134.200
31	Spectrogram 1	1	1134.279465252	1136.284606640	1763.600	3086.300
32	Spectrogram 1	1	1137.158642630	1139.986406126	1533.500	3028.800
33	Spectrogram 1	1	1150.783302233	1151.760165986	2003.200	2904.200
34	Spectrogram 1	1	1419.934637795	1421.040036253	1801.900	2894.600
35	Spectrogram 1	1	1465.358764439	1466.207093488	1859.400	2913.700
36	Spectrogram 1	1	1508.816354831	1509.703244189	421.725	862.620
37	Spectrogram 1	1	1529.369061247	1530.410192232	1744.409	2932.907
38	Spectrogram 1	1	1529.870346536	1530.564433859	3469.649	4178.914
39	Spectrogram 1	1	1729.921813174	1731.194306600	1706.070	2952.077
40	Spectrogram 1	1	1743.803571366	1744.536219096	1744.409	2089.457
41	Spectrogram 1	1	1748.238018153	1751.322850701	1648.562	3028.754
42	Spectrogram 1	1	1757.646757424	1758.919250850	1801.917	2932.907
43	Spectrogram 1	1	1765.088920266	1766.322853285	1821.086	2932.907
44	Spectrogram 1	1	1766.477094913	1767.363984270	1782.748	2875.399
45	Spectrogram 1	1	1768.713598510	1770.718739666	1725.240	2990.415
46	Spectrogram 1	1	1784.561938376	1785.795871395	517.572	862.620
47	Spectrogram 1	1	1785.834431802	1786.759881566	1744.409	2511.182
48	Spectrogram 1	1	1797.094070602	1798.173761993	2376.997	2856.230
49	Spectrogram 1	1	1833.109506027	1833.919274571	1763.578	2051.118
50	Spectrogram 1	1	1841.592795533	1842.556805705	1782.748	2971.246
51	Spectrogram 1	1	1847.839581443	1848.726470800	1706.070	2875.399
52	Spectrogram 1	1	1849.613371575	1850.423140119	1763.578	2089.457
53	Spectrogram 1	1	1855.204630568	1856.245761553	2683.706	2913.738
54	Spectrogram 1	1	1855.821597078	1856.785607249	1725.240	2242.812
55	Spectrogram 1	1	1858.597946371	1861.721339326	1706.070	2913.738
56	Spectrogram 1	1	1864.806171873	1865.962984079	1686.901	2070.288
57	Spectrogram 1	1	1867.081246061	1868.045256232	1706.070	2031.949
58	Spectrogram 1	1	1870.011836981	1872.094098951	1610.224	2952.077
59	Spectrogram 1	1	1889.214919591	1890.487413017	1744.409	2990.415
60	Spectrogram 1	1	1893.649366379	1894.304893295	1686.901	2031.949
61	Spectrogram 1	1	1901.785623641	1902.479710965	1686.901	2051.118
62	Spectrogram 1	1	1911.387164946	1913.662228950	1744.409	2952.077
63	Spectrogram 1	1	1947.286916682	1948.289487260	632.588	1092.652
64	Spectrogram 1	1	1951.335759401	1952.029846725	517.572	1073.482
65	Spectrogram 1	1	2052.325498046	2054.253518388	1686.901	2971.246
66	Spectrogram 1	1	2086.798502919	2087.608271463	1801.917	2798.722
67	Spectrogram 1	1	2149.574846112	2150.885899945	2376.997	2702.875
68	Spectrogram 1	1	2180.839139616	2182.258959470	306.709	2166.134
69	Spectrogram 1	1	2190.950162666	2192.338337312	364.217	2108.626
70	Spectrogram 1	1	2201.477153735	2203.636536519	2300.319	2932.907
71	Spectrogram 1	1	2208.495148841	2209.459159013	440.895	2817.891
72	Spectrogram 1	1	2209.999004708	2211.579981389	409.336	2664.537
73	Spectrogram 1	1	2240.307486214	2241.313973158	575.080	2760.383
74	Spectrogram 1	1	2248.983577754	2249.782780995	996.805	2492.013
75	Spectrogram 1	1	2267.531133276	2269.466532804	594.249	2837.061
76	Spectrogram 1	1	2269.750496775	2270.552277399	1680.431	2434.470
77	Spectrogram 1	1	2276.966522388	2278.954270184	345.048	2736.086
78	Spectrogram 1	1	2279.754782247	2281.759923403	785.942	2242.812
79	Spectrogram 1	1	2282.338329506	2284.306193346	560.144	2952.077
80	Spectrogram 1	1	2286.772776294	2287.505424024	1035.144	1341.853
81	Spectrogram 1	1	2288.546555009	2289.857608841	402.556	2664.537
82	Spectrogram 1	1	2295.911595762	2296.644243492	977.636	1265.176
83	Spectrogram 1	1	2297.029847561	2299.651955226	536.741	2185.304
84	Spectrogram 1	1	2302.081260858	2303.122391843	1763.578	2952.077
85	Spectrogram 1	1	2306.862751307	2307.826761478	1744.409	2952.077
86	Spectrogram 1	1	2308.636530022	2311.142956467	536.741	2702.875
87	Spectrogram 1	1	2312.993273409	2313.765064133	1763.578	2585.278
88	Spectrogram 1	1	2314.413093263	2315.148058834	1034.111	1357.271
89	Spectrogram 1	1	2317.659665224	2318.623675396	1763.578	2175.943
90	Spectrogram 1	1	2327.976548812	2329.045589644	1529.623	2843.806
91	Spectrogram 1	1	2359.921865146	2360.962996131	1725.240	2760.383
92	Spectrogram 1	1	2382.672507217	2383.428712556	1725.240	2817.891
