Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	12.313624679	12.982005141	402.600	920.100
2	Spectrogram 1	1	14.961439589	15.578406170	4255.600	4715.700
3	Spectrogram 1	1	24.395886889	25.501285347	536.700	1169.300
4	Spectrogram 1	1	24.987146530	25.655526992	4063.900	4677.300
5	Spectrogram 1	1	28.868894602	29.408740360	2607.000	4884.211
6	Spectrogram 1	1	38.200504380	39.614386128	421.700	939.300
7	Spectrogram 1	1	81.696532676	82.339206198	2626.200	4543.100
8	Spectrogram 1	1	145.346806774	146.220842764	2023.609	4562.300
9	Spectrogram 1	1	157.274769999	157.891736580	3910.500	4600.600
10	Spectrogram 1	1	157.608960231	158.148805989	5501.600	6057.500
11	Spectrogram 1	1	171.490708303	171.953433238	4274.800	4696.500
12	Spectrogram 1	1	171.670656889	172.081967943	5616.600	6115.000
13	Spectrogram 1	1	222.596023178	223.007334232	4236.400	4581.500
14	Spectrogram 1	1	229.125550485	229.562568480	4236.400	4619.800
15	Spectrogram 1	1	290.693552987	292.364504144	555.900	920.100
16	Spectrogram 1	1	291.130570982	291.696123681	2147.000	2492.000
17	Spectrogram 1	1	359.305259997	359.999347401	4140.600	4715.700
18	Spectrogram 1	1	3346.909484557	3347.526451138	3814.700	4408.900
19	Spectrogram 1	1	3491.727810946	3492.395961465	3784.148	5139.966
20	Spectrogram 1	1	3795.526242483	3796.829135997	627.319	4897.133
21	Spectrogram 1	1	4122.667574413	4123.593024284	632.600	4654.300
22	Spectrogram 1	1	4132.024884548	4132.539023365	4044.700	4447.300
23	Spectrogram 1	1	4134.569849841	4135.289644186	709.300	4121.400
