Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	12.744971163	13.479936734	421.442	975.970
2	Spectrogram 1	1	364.763900705	365.649200144	443.623	2062.847
3	Spectrogram 1	1	383.886418743	385.362758412	510.600	2978.700
4	Spectrogram 1	1	586.239715523	587.034667652	383.000	1489.400
5	Spectrogram 1	1	634.145086698	635.242877734	383.000	3489.400
6	Spectrogram 1	1	1536.237160101	1536.938718147	354.898	2040.665
7	Spectrogram 1	1	1631.792856672	1632.227154510	554.529	1109.057
8	Spectrogram 1	1	1699.256089644	1699.773906296	443.623	2329.020
9	Spectrogram 1	1	1914.587939124	1915.456534800	532.348	2417.745
10	Spectrogram 1	1	3038.933726906	3039.577259582	468.100	2510.600
11	Spectrogram 1	1	3067.035612472	3067.720466755	377.079	2262.477
12	Spectrogram 1	1	3167.318473970	3167.719364282	443.623	2284.658
13	Spectrogram 1	1	3212.609094446	3213.026688521	332.717	2062.847
14	Spectrogram 1	1	3420.491065632	3421.192623678	443.623	2728.281
15	Spectrogram 1	1	3424.867451536	3425.452083241	487.985	2439.926
16	Spectrogram 1	1	3689.205751376	3689.924993779	383.000	2808.500
17	Spectrogram 1	1	3802.332931120	3802.750525195	709.797	3127.542
18	Spectrogram 1	1	3896.285066444	3896.786179334	1508.318	3016.636
19	Spectrogram 1	1	3916.680361057	3917.148066421	1441.774	3171.904
20	Spectrogram 1	1	4141.205999188	4141.690408315	377.079	2484.288
21	Spectrogram 1	1	4257.541176921	4257.942067233	510.166	2218.115
22	Spectrogram 1	1	4262.201526796	4262.685935922	465.804	3304.991
23	Spectrogram 1	1	4267.697064820	4268.264992762	487.985	2794.824
24	Spectrogram 1	1	4384.155887899	4384.540074448	1619.224	2351.201
25	Spectrogram 1	1	4548.208168415	4548.908483386	1148.900	3021.300
26	Spectrogram 1	1	4549.305959451	4550.328040760	443.623	3744.700
27	Spectrogram 1	1	4577.261817666	4578.776012198	510.166	3319.100
28	Spectrogram 1	1	4768.504712066	4769.167172174	731.978	3171.904
29	Spectrogram 1	1	4809.539425552	4810.826490904	1361.700	2553.200
30	Spectrogram 1	1	4815.234263665	4815.885710421	487.985	3415.896
31	Spectrogram 1	1	5095.440262853	5095.924671979	1552.680	2927.911
32	Spectrogram 1	1	5493.804392928	5494.296506151	1574.500	2595.700
33	Spectrogram 1	1	5536.149642377	5536.684162792	354.898	3016.636
