Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	10.857445945	12.277265799	4982.332	5851.590
2	Spectrogram 1	1	91.005554032	92.792856672	4388.693	5597.173
3	Spectrogram 1	1	126.090175320	127.242734967	4982.332	5618.375
4	Spectrogram 1	1	158.186825076	158.954862587	487.300	3959.400
5	Spectrogram 1	1	161.525575631	161.993280995	1653.710	4558.304
6	Spectrogram 1	1	675.410875070	677.064547606	4431.095	5575.972
7	Spectrogram 1	1	678.708235384	680.211574053	4282.686	5385.159
8	Spectrogram 1	1	685.272814240	686.208224968	4770.318	5448.763
9	Spectrogram 1	1	695.011108064	696.314001578	4876.325	5660.777
10	Spectrogram 1	1	728.508871868	729.344060018	4367.491	5512.367
11	Spectrogram 1	1	955.359323796	955.995049793	530.035	2607.774
12	Spectrogram 1	1	1085.111351476	1085.612464365	530.035	4388.693
13	Spectrogram 1	1	1519.461287509	1520.047818804	304.600	3654.800
