Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	197.445409684	197.746077626	61.3	817.7	PtGraham_HB2_190928005639.wav
2	Spectrogram 1	1	224.819592984	225.387521321	61.3	674.6	PtGraham_HB2_190928005639.wav
3	Spectrogram 1	1	358.443183208	359.077926643	40.9	347.5	PtGraham_HB2_190928005639.wav
4	Spectrogram 1	1	772.403106649	773.037850084	592.8	1001.7	PtGraham_HB2_190928005639.wav
5	Spectrogram 1	1	773.706001067	774.641412444	490.6	1083.5	PtGraham_HB2_190928005639.wav
6	Spectrogram 1	1	775.476601174	776.545642748	511.1	838.2	PtGraham_HB2_190928005639.wav
7	Spectrogram 1	1	782.625816699	783.895303568	388.4	858.6	PtGraham_HB2_190928005639.wav
8	Spectrogram 1	1	848.218236266	848.719349504	511.1	899.5	PtGraham_HB2_190928005639.wav
9	Spectrogram 1	1	850.022243922	850.690394905	368.0	1083.5	PtGraham_HB2_190928005639.wav
10	Spectrogram 1	1	851.325138340	851.959881774	368.0	1063.0	PtGraham_HB2_190928005639.wav
11	Spectrogram 1	1	852.795070504	853.329591291	327.1	1063.0	PtGraham_HB2_190928005639.wav
12	Spectrogram 1	1	864.220452325	865.322901448	552.0	1022.1	PtGraham_HB2_190928005639.wav
13	Spectrogram 1	1	868.710464435	870.447656992	368.0	960.8	PtGraham_HB2_190928005639.wav
14	Spectrogram 1	1	872.452109943	873.086853378	102.2	368.0	PtGraham_HB2_190928005639.wav
15	Spectrogram 1	1	891.494412978	892.630269650	470.2	1042.6	PtGraham_HB2_190928005639.wav
16	Spectrogram 1	1	996.587956199	997.523367576	613.3	1144.8	PtGraham_HB2_190928005639.wav
17	Spectrogram 1	1	1002.133609363	1002.801760347	654.2	1717.2	PtGraham_HB2_190928005639.wav
18	Spectrogram 1	1	1004.405322708	1004.973251044	1185.7	1492.3	PtGraham_HB2_190928005639.wav
19	Spectrogram 1	1	1164.400869757	1164.968798093	470.2	1063.0	PtGraham_HB2_190928005639.wav
20	Spectrogram 1	1	1204.837404788	1205.672593518	633.7	879.0	PtGraham_HB2_190928005639.wav
21	Spectrogram 1	1	1211.385284428	1219.035613191	388.4	1615.0	PtGraham_HB2_190928005639.wav
22	Spectrogram 1	1	1243.189271251	1244.525573218	531.5	2126.1	PtGraham_HB2_190928005639.wav
23	Spectrogram 1	1	1247.278392771	1248.781732484	470.2	919.9	PtGraham_HB2_190928005639.wav
24	Spectrogram 1	1	1484.057888363	1488.200424462	552.0	858.6	PtGraham_HB2_190928005639.wav
25	Spectrogram 1	1	1507.042282201	1507.643618086	408.9	715.5	PtGraham_HB2_190928005639.wav
26	Spectrogram 1	1	2966.612437013	2967.481033292	345.6	710.4	PtGraham_HB2_190928005639.wav
27	Spectrogram 1	1	3290.178138873	3291.080142701	307.2	1228.8	PtGraham_HB2_190928005639.wav
28	Spectrogram 1	1	3701.665903675	3702.734945249	76.8	441.6	PtGraham_HB2_190928005639.wav
29	Spectrogram 1	1	3720.307316119	3721.810655832	403.2	556.8	PtGraham_HB2_190928005639.wav
30	Spectrogram 1	1	3724.917557906	3726.053414579	76.8	422.4	PtGraham_HB2_190928005639.wav
31	Spectrogram 1	1	3746.746088043	3747.915352264	172.8	480.0	PtGraham_HB2_190928005639.wav
32	Spectrogram 1	1	3785.579060714	3787.416475919	211.2	403.2	PtGraham_HB2_190928005639.wav
33	Spectrogram 1	1	4244.338507610	4245.641402028	499.2	825.6	PtGraham_HB2_190928005639.wav
34	Spectrogram 1	1	7664.946512505	7665.614663488	460.8	633.6	PtGraham_HB2_190928005639.wav
35	Spectrogram 1	1	7673.244985222	7674.881955132	633.6	940.8	PtGraham_HB2_190928005639.wav
36	Spectrogram 1	1	8122.416465502	8123.251654232	422.4	710.4	PtGraham_HB2_190928005639.wav
37	Spectrogram 1	1	8127.761673371	8128.864122494	96.0	326.4	PtGraham_HB2_190928005639.wav
38	Spectrogram 1	1	8134.175922815	8134.977703995	134.4	345.6	PtGraham_HB2_190928005639.wav
39	Spectrogram 1	1	8382.126940354	8383.530057419	480.0	864.0	PtGraham_HB2_190928005639.wav
40	Spectrogram 1	1	8392.650318346	8393.318469330	96.0	288.0	PtGraham_HB2_190928005639.wav
41	Spectrogram 1	1	8404.309553011	8405.244964388	576.0	883.2	PtGraham_HB2_190928005639.wav
42	Spectrogram 1	1	8406.547858807	8407.282824889	672.0	940.8	PtGraham_HB2_190928005639.wav
43	Spectrogram 1	1	8410.256096766	8411.358545889	480.0	768.0	PtGraham_HB2_190928005639.wav
44	Spectrogram 1	1	8424.988825956	8427.193724202	633.6	883.2	PtGraham_HB2_190928005639.wav
45	Spectrogram 1	1	8441.104665182	8442.140299207	230.4	691.2	PtGraham_HB2_190928005639.wav
46	Spectrogram 1	1	8443.877491764	8444.746088043	614.4	844.8	PtGraham_HB2_190928005639.wav
47	Spectrogram 1	1	8526.140278373	8526.875244455	883.2	1094.4	PtGraham_HB2_190928005639.wav
48	Spectrogram 1	1	8611.356329830	8612.391963855	480.0	1209.6	PtGraham_HB2_190928005639.wav
49	Spectrogram 1	1	8614.530047003	8615.231605535	422.4	1056.0	PtGraham_HB2_190928005639.wav
50	Spectrogram 1	1	8618.505545355	8619.507771831	230.4	825.6	PtGraham_HB2_190928005639.wav
51	Spectrogram 1	1	8622.547858807	8623.483270184	96.0	1132.8	PtGraham_HB2_190928005639.wav
52	Spectrogram 1	1	8625.420908036	8625.788391077	96.0	480.0	PtGraham_HB2_190928005639.wav
53	Spectrogram 1	1	8626.890840200	8627.558991184	96.0	672.0	PtGraham_HB2_190928005639.wav
54	Spectrogram 1	1	8635.910878480	8636.512214365	38.4	326.4	PtGraham_HB2_190928005639.wav
55	Spectrogram 1	1	8637.313995546	8637.982146529	76.8	326.4	PtGraham_HB2_190928005639.wav
56	Spectrogram 1	1	8654.699321641	8655.567917919	384.0	1075.2	PtGraham_HB2_190928005639.wav
57	Spectrogram 1	1	8659.576823821	8660.478827649	249.6	1382.4	PtGraham_HB2_190928005639.wav
58	Spectrogram 1	1	8663.017801387	8664.086842961	422.4	1286.4	PtGraham_HB2_190928005639.wav
59	Spectrogram 1	1	8665.155884535	8666.692631798	249.6	1555.2	PtGraham_HB2_190928005639.wav
60	Spectrogram 1	1	8668.997752691	8670.066794265	268.8	1248.0	PtGraham_HB2_190928005639.wav
61	Spectrogram 1	1	8671.803986823	8672.639175552	288.0	1190.4	PtGraham_HB2_190928005639.wav
62	Spectrogram 1	1	8674.877481347	8676.447636159	211.2	1056.0	PtGraham_HB2_190928005639.wav
63	Spectrogram 1	1	8680.857432651	8681.726028930	211.2	1113.6	PtGraham_HB2_190928005639.wav
64	Spectrogram 1	1	8684.832931004	8686.436493365	115.2	307.2	PtGraham_HB2_190928005639.wav
65	Spectrogram 1	1	8688.006648177	8689.342950144	192.0	614.4	PtGraham_HB2_190928005639.wav
66	Spectrogram 1	1	8690.645844562	8691.280587996	134.4	595.2	PtGraham_HB2_190928005639.wav
67	Spectrogram 1	1	8692.850742808	8694.688158013	115.2	556.8	PtGraham_HB2_190928005639.wav
68	Spectrogram 1	1	8695.824014685	8697.227131751	153.6	556.8	PtGraham_HB2_190928005639.wav
69	Spectrogram 1	1	8698.008905902	8699.011132378	96.0	460.8	PtGraham_HB2_190928005639.wav
70	Spectrogram 1	1	8699.746098460	8700.247211697	115.2	499.2	PtGraham_HB2_190928005639.wav
71	Spectrogram 1	1	8883.494412978	8884.296194158	441.6	825.6	PtGraham_HB2_190928005639.wav
72	Spectrogram 1	1	9177.447625742	9178.115776726	288.0	537.6	PtGraham_HB2_190928005639.wav
73	Spectrogram 1	1	9192.327385649	9193.563464968	441.6	864.0	PtGraham_HB2_190928005639.wav
74	Spectrogram 1	1	9210.434277306	9212.405322708	460.8	825.6	PtGraham_HB2_190928005639.wav
75	Spectrogram 1	1	9214.042292618	9215.077926643	441.6	806.4	PtGraham_HB2_190928005639.wav
76	Spectrogram 1	1	9232.750520161	9234.020007030	134.4	326.4	PtGraham_HB2_190928005639.wav
77	Spectrogram 1	1	9266.472137806	9267.975477519	326.4	710.4	PtGraham_HB2_190928005639.wav
78	Spectrogram 1	1	9468.975487936	9469.844084215	288.0	787.2	PtGraham_HB2_190928005639.wav
