Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	1.621096168	2.825339035	204.5	469.1
2	Spectrogram 1	1	5.465409936	6.206482470	156.4	264.6
3	Spectrogram 1	1	8.429700071	9.124455571	156.4	276.7
4	Spectrogram 1	1	12.968769340	13.802475940	156.4	312.8
5	Spectrogram 1	1	16.581497942	17.090985309	168.4	276.7
6	Spectrogram 1	1	20.425811711	21.815322711	144.4	733.8
7	Spectrogram 1	1	24.455393613	25.289100213	156.4	421.0
8	Spectrogram 1	1	28.531292548	29.087096948	144.4	252.6
9	Spectrogram 1	1	31.356631583	32.144021150	156.4	300.7
10	Spectrogram 1	1	34.274604684	35.108311285	132.3	276.7
11	Spectrogram 1	1	40.110550887	42.009549255	132.3	757.9
12	Spectrogram 1	1	44.371717956	45.946497091	156.4	3392.3
13	Spectrogram 1	1	48.354982825	49.096055359	132.3	300.7
14	Spectrogram 1	1	51.411907027	52.245613627	132.3	288.7
15	Spectrogram 1	1	53.905174237	54.738880838	132.3	312.8
16	Spectrogram 1	1	55.387319305	55.665221505	156.4	372.9
17	Spectrogram 1	1	56.545245139	57.378951739	132.3	264.6
18	Spectrogram 1	1	61.964338041	63.492800142	156.4	781.9
19	Spectrogram 1	1	66.271822144	67.244479844	204.5	384.9
20	Spectrogram 1	1	69.977184812	70.764574379	132.3	336.8
21	Spectrogram 1	1	72.941474947	73.914132648	120.3	312.8
22	Spectrogram 1	1	75.766813982	76.554203549	144.4	409.0
23	Spectrogram 1	1	77.573178283	78.221616750	108.3	469.1
24	Spectrogram 1	1	78.870055217	79.472176651	144.4	252.6
25	Spectrogram 1	1	81.185906885	82.343832719	132.3	360.9
26	Spectrogram 1	1	83.779660753	85.863927254	84.2	806.0
27	Spectrogram 1	1	88.179778922	89.384021789	192.5	457.1
28	Spectrogram 1	1	92.172579134	93.191553868	108.3	493.2
29	Spectrogram 1	1	95.368454436	96.526380270	156.4	481.2
30	Spectrogram 1	1	97.915891270	99.120134138	144.4	433.1
31	Spectrogram 1	1	101.250717672	102.269692406	144.4	457.1
32	Spectrogram 1	1	106.484542441	108.290906742	168.4	769.9
33	Spectrogram 1	1	110.745709510	111.625733144	204.5	409.0
34	Spectrogram 1	1	114.590023279	115.516363946	144.4	312.8
35	Spectrogram 1	1	117.646947480	118.619605181	120.3	324.8
36	Spectrogram 1	1	120.750188715	121.861797516	84.2	276.7
37	Spectrogram 1	1	123.343942583	124.640819517	108.3	312.8
38	Spectrogram 1	1	127.697743719	129.782010220	144.4	806.0
39	Spectrogram 1	1	143.185776253	144.667921321	108.3	709.7
40	Spectrogram 1	1	159.813591229	161.434687396	132.3	505.2
41	Spectrogram 1	1	174.676267626	176.760534127	144.4	565.4
42	Spectrogram 1	1	189.173499066	191.304082601	96.2	1166.8
43	Spectrogram 1	1	204.087583808	206.125533275	132.3	902.2
44	Spectrogram 1	1	209.956123357	212.040389858	156.4	565.4
45	Spectrogram 1	1	218.293189361	220.238504762	144.4	661.6
46	Spectrogram 1	1	224.499671831	225.935499865	84.2	625.5
47	Spectrogram 1	1	233.531493335	235.152589503	108.3	601.5
48	Spectrogram 1	1	239.552707672	241.312754939	84.2	505.2
49	Spectrogram 1	1	248.336292072	250.188973407	156.4	493.2
50	Spectrogram 1	1	254.357506409	256.024919610	96.2	505.2
51	Spectrogram 1	1	262.879840547	265.195692214	108.3	505.2
52	Spectrogram 1	1	268.808420816	270.707419184	36.1	589.4
53	Spectrogram 1	1	277.608657154	279.600289589	72.2	481.2
54	Spectrogram 1	1	283.908519418	285.575932619	108.3	769.9
55	Spectrogram 1	1	289.605514521	291.180293656	336.8	637.6
56	Spectrogram 1	1	301.879528361	303.083771228	60.1	505.2
57	Spectrogram 1	1	352.791900017	354.829849485	60.1	204.5
58	Spectrogram 1	1	359.276284688	360.434210521	156.4	421.0
59	Spectrogram 1	1	363.907988023	365.019596824	180.4	384.9
60	Spectrogram 1	1	378.822072764	379.563145298	204.5	445.1
61	Spectrogram 1	1	383.341561846	384.731072846	168.4	517.3
62	Spectrogram 1	1	399.181987254	400.293596055	120.3	481.2
63	Spectrogram 1	1	417.370666379	419.223347713	204.5	505.2
64	Spectrogram 1	1	597.639925711	598.844168578	288.7	1034.5
