Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	32.565674432	33.329905353	463.0	748.0
2	Spectrogram 1	1	46.043928854	47.086061928	391.8	653.0
3	Spectrogram 1	1	70.709354494	71.404109876	142.5	1187.2
4	Spectrogram 1	1	73.696802639	75.329477788	261.2	617.4
5	Spectrogram 1	1	98.331965914	99.999378832	213.7	949.8
6	Spectrogram 1	1	116.117703708	117.403001166	225.6	368.0
7	Spectrogram 1	1	117.541952242	118.375658701	379.9	700.5
8	Spectrogram 1	1	121.467320154	121.884173383	284.9	463.0
9	Spectrogram 1	1	123.030519764	124.281079453	154.3	653.0
10	Spectrogram 1	1	126.782198830	128.935940516	142.5	522.4
11	Spectrogram 1	1	133.763431603	134.875040215	712.3	914.2
12	Spectrogram 1	1	138.557243743	139.495163509	118.7	415.5
13	Spectrogram 1	1	141.718380734	143.420531421	201.8	451.2
14	Spectrogram 1	1	151.297794515	152.235714282	213.7	403.7
15	Spectrogram 1	1	154.528407044	155.049473581	83.1	558.0
16	Spectrogram 1	1	167.450857160	169.118270078	344.3	558.0
17	Spectrogram 1	1	197.560560960	198.950071725	166.2	320.6
18	Spectrogram 1	1	212.497801685	213.505196990	795.5	997.3
19	Spectrogram 1	1	215.270853379	216.973004066	391.8	653.0
20	Spectrogram 1	1	219.092007983	220.238354364	748.0	949.8
21	Spectrogram 1	1	220.029927750	221.106798593	178.1	415.5
22	Spectrogram 1	1	224.163722276	224.823739889	617.4	985.4
