Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	113.244985222	114.447656992	330.1	621.4	Iniskin_HB15_191102075353.wav
2	Spectrogram 1	1	119.959902608	121.162574378	407.8	582.5	Iniskin_HB15_191102075353.wav
3	Spectrogram 1	1	442.790638386	443.859679960	271.8	699.0	Iniskin_HB15_191102075353.wav
4	Spectrogram 1	1	456.287288256	457.423144929	174.8	835.0	Iniskin_HB15_191102075353.wav
5	Spectrogram 1	1	469.082379594	469.683715479	291.3	757.3	Iniskin_HB15_191102075353.wav
6	Spectrogram 1	1	474.126919520	475.496629037	155.3	699.0	Iniskin_HB15_191102075353.wav
7	Spectrogram 1	1	502.904219887	503.839631264	233.0	621.4	Iniskin_HB15_191102075353.wav
8	Spectrogram 1	1	525.320685389	526.523357159	252.4	524.3	Iniskin_HB15_191102075353.wav
9	Spectrogram 1	1	534.641391611	535.710433185	135.9	718.4	Iniskin_HB15_191102075353.wav
10	Spectrogram 1	1	545.913136205	546.714917386	77.7	582.5	Iniskin_HB15_191102075353.wav
11	Spectrogram 1	1	756.868596279	757.603562361	660.2	912.6	Iniskin_HB15_191102075353.wav
12	Spectrogram 1	1	761.679283361	762.781732484	233.0	699.0	Iniskin_HB15_191102075353.wav
13	Spectrogram 1	1	767.492196919	768.260570550	97.1	582.5	Iniskin_HB15_191102075353.wav
14	Spectrogram 1	1	771.300657526	771.801770764	116.5	582.5	Iniskin_HB15_191102075353.wav
15	Spectrogram 1	1	784.496639453	785.265013085	349.5	718.4	Iniskin_HB15_191102075353.wav
16	Spectrogram 1	1	789.140288790	789.741624675	524.3	796.1	Iniskin_HB15_191102075353.wav
17	Spectrogram 1	1	794.752757053	795.420908036	427.2	718.4	Iniskin_HB15_191102075353.wav
18	Spectrogram 1	1	801.567897086	802.770568857	427.2	737.9	Iniskin_HB15_191102075353.wav
19	Spectrogram 1	1	817.282845722	818.685962788	388.3	679.6	Iniskin_HB15_191102075353.wav
20	Spectrogram 1	1	823.897540460	825.634733018	233.0	543.7	Iniskin_HB15_191102075353.wav
21	Spectrogram 1	1	831.781722068	833.084616486	116.5	466.0	Iniskin_HB15_191102075353.wav
22	Spectrogram 1	1	836.191518560	837.895303568	135.9	427.2	Iniskin_HB15_191102075353.wav
23	Spectrogram 1	1	864.020007030	864.754973112	427.2	776.7	Iniskin_HB15_191102075353.wav
24	Spectrogram 1	1	884.812903141	886.216020207	388.3	679.6	Iniskin_HB15_191102075353.wav
25	Spectrogram 1	1	890.826261994	892.028933765	155.3	679.6	Iniskin_HB15_191102075353.wav
26	Spectrogram 1	1	918.287267423	919.924237333	291.3	699.0	Iniskin_HB15_191102075353.wav
27	Spectrogram 1	1	962.298410217	963.467674439	504.9	796.1	Iniskin_HB15_191102075353.wav
28	Spectrogram 1	1	967.443172791	968.612437013	524.3	815.5	Iniskin_HB15_191102075353.wav
29	Spectrogram 1	1	972.621342915	973.690384489	446.6	640.8	Iniskin_HB15_191102075353.wav
30	Spectrogram 1	1	977.579060714	978.447656992	233.0	660.2	Iniskin_HB15_191102075353.wav
