Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	37.115787143	38.151421167	469.9	650.6	Iniskin_HB14_191101195358.wav
2	Spectrogram 1	1	45.567897086	46.436493365	542.2	722.9	Iniskin_HB14_191101195358.wav
3	Spectrogram 1	1	50.512214365	51.347403095	361.4	650.6	Iniskin_HB14_191101195358.wav
4	Spectrogram 1	1	268.015554079	269.251633398	596.4	867.5	Iniskin_HB14_191101195358.wav
5	Spectrogram 1	1	292.383057953	293.786175019	488.0	813.3	Iniskin_HB14_191101195358.wav
6	Spectrogram 1	1	296.893077093	297.694858273	433.7	668.7	Iniskin_HB14_191101195358.wav
7	Spectrogram 1	1	419.592398733	420.394179914	343.4	939.8	Iniskin_HB14_191101195358.wav
8	Spectrogram 1	1	424.169232971	425.371904742	253.0	759.0	Iniskin_HB14_191101195358.wav
9	Spectrogram 1	1	433.971045402	434.538973738	144.6	632.5	Iniskin_HB14_191101195358.wav
10	Spectrogram 1	1	438.146989050	438.547879640	144.6	614.5	Iniskin_HB14_191101195358.wav
11	Spectrogram 1	1	442.857453485	444.227163001	488.0	650.6	Iniskin_HB14_191101195358.wav
12	Spectrogram 1	1	446.298431050	448.737182141	415.7	795.2	Iniskin_HB14_191101195358.wav
13	Spectrogram 1	1	451.677046469	452.645865395	253.0	650.6	Iniskin_HB14_191101195358.wav
14	Spectrogram 1	1	461.966571617	462.534499954	469.9	650.6	Iniskin_HB14_191101195358.wav
15	Spectrogram 1	1	505.042303035	506.612457846	500.8	741.9	Iniskin_HB14_191101195358.wav
16	Spectrogram 1	1	510.688178847	511.690405322	204.0	630.6	Iniskin_HB14_191101195358.wav
17	Spectrogram 1	1	518.071247216	518.605768003	129.8	760.4	Iniskin_HB14_191101195358.wav
18	Spectrogram 1	1	552.060125255	552.561238493	129.8	630.6	Iniskin_HB14_191101195358.wav
19	Spectrogram 1	1	860.846289857	861.313995546	422.4	748.8	Iniskin_HB14_191101195358.wav
20	Spectrogram 1	1	864.220452325	864.621342915	115.2	614.4	Iniskin_HB14_191101195358.wav
21	Spectrogram 1	1	895.536726429	896.538952905	422.4	595.2	Iniskin_HB14_191101195358.wav
22	Spectrogram 1	1	907.964334725	909.100191398	537.6	787.2	Iniskin_HB14_191101195358.wav
23	Spectrogram 1	1	940.884171191	941.953212764	460.8	768.0	Iniskin_HB14_191101195358.wav
24	Spectrogram 1	1	1079.285040947	1080.187044775	518.4	787.2	Iniskin_HB14_191101195358.wav
25	Spectrogram 1	1	1128.240501021	1128.841836906	76.8	441.6	Iniskin_HB14_191101195358.wav
26	Spectrogram 1	1	1269.962118666	1271.599088576	326.4	518.4	Iniskin_HB14_191101195358.wav
27	Spectrogram 1	1	1341.100191398	1342.336270717	96.0	576.0	Iniskin_HB14_191101195358.wav
28	Spectrogram 1	1	1374.821809043	1376.325148756	115.2	652.8	Iniskin_HB14_191101195358.wav
29	Spectrogram 1	1	1722.040055726	1722.808429357	134.4	556.8	Iniskin_HB14_191101195358.wav
30	Spectrogram 1	1	1988.164780020	1989.033376299	460.8	672.0	Iniskin_HB14_191101195358.wav
31	Spectrogram 1	1	2010.527830944	2011.028944182	499.2	691.2	Iniskin_HB14_191101195358.wav
32	Spectrogram 1	1	2017.142525682	2018.679272945	326.4	652.8	Iniskin_HB14_191101195358.wav
