Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	132.788401494	134.826261994	80.9	364.2	Iniskin_HB7_191019205242.wav
2	Spectrogram 1	1	286.737182141	288.708227543	101.2	425.0	Iniskin_HB7_191019205242.wav
3	Spectrogram 1	1	547.650328763	549.086853378	222.6	505.9	Iniskin_HB7_191019205242.wav
4	Spectrogram 1	1	553.864132911	555.300657526	222.6	485.7	Iniskin_HB7_191019205242.wav
5	Spectrogram 1	1	669.681499420	670.717133445	242.8	445.2	Iniskin_HB7_191019205242.wav
6	Spectrogram 1	1	688.222689217	688.957655299	303.5	465.4	Iniskin_HB7_191019205242.wav
7	Spectrogram 1	1	694.336270717	695.305089644	121.4	404.7	Iniskin_HB7_191019205242.wav
8	Spectrogram 1	1	720.040076559	721.409786076	222.6	465.4	Iniskin_HB7_191019205242.wav
9	Spectrogram 1	1	862.717112611	864.020007030	222.6	526.1	Iniskin_HB7_191019205242.wav
10	Spectrogram 1	1	1106.391963855	1107.160337486	485.7	627.3	Iniskin_HB7_191019205242.wav
11	Spectrogram 1	1	1107.962118666	1109.064567790	546.4	667.8	Iniskin_HB7_191019205242.wav
12	Spectrogram 1	1	1114.944296446	1115.478817233	425.0	667.8	Iniskin_HB7_191019205242.wav
13	Spectrogram 1	1	1163.933164068	1164.968798093	263.1	404.7	Iniskin_HB7_191019205242.wav
14	Spectrogram 1	1	1185.982146529	1187.318448497	323.8	505.9	Iniskin_HB7_191019205242.wav
15	Spectrogram 1	1	1191.460984595	1192.429803522	263.1	526.1	Iniskin_HB7_191019205242.wav
16	Spectrogram 1	1	1196.752777886	1197.387521321	161.9	384.5	Iniskin_HB7_191019205242.wav
17	Spectrogram 1	1	1200.761683788	1201.396427223	121.4	384.5	Iniskin_HB7_191019205242.wav
18	Spectrogram 1	1	1222.810666249	1223.779485175	303.5	526.1	Iniskin_HB7_191019205242.wav
19	Spectrogram 1	1	1261.844084215	1262.278382354	182.1	465.4	Iniskin_HB7_191019205242.wav
20	Spectrogram 1	1	1263.614684322	1264.149205109	182.1	485.7	Iniskin_HB7_191019205242.wav
21	Spectrogram 1	1	1268.391963855	1269.026707289	161.9	465.4	Iniskin_HB7_191019205242.wav
22	Spectrogram 1	1	1277.679262528	1278.714896553	283.3	465.4	Iniskin_HB7_191019205242.wav
23	Spectrogram 1	1	1282.991062848	1283.592398733	101.2	384.5	Iniskin_HB7_191019205242.wav
24	Spectrogram 1	1	1297.155863702	1298.057867530	242.8	425.0	Iniskin_HB7_191019205242.wav
25	Spectrogram 1	1	1399.509987890	1400.144731324	485.7	708.3	Iniskin_HB7_191019205242.wav
26	Spectrogram 1	1	1416.227163001	1416.962129083	485.7	769.0	Iniskin_HB7_191019205242.wav
27	Spectrogram 1	1	1651.002205642	1651.703764175	526.1	748.7	Iniskin_HB7_191019205242.wav
28	Spectrogram 1	1	1655.278371938	1655.979930470	404.7	748.7	Iniskin_HB7_191019205242.wav
29	Spectrogram 1	1	1664.766115906	1666.002195226	242.8	465.4	Iniskin_HB7_191019205242.wav
30	Spectrogram 1	1	1670.144731324	1671.180365349	222.6	465.4	Iniskin_HB7_191019205242.wav
31	Spectrogram 1	1	1674.487712718	1675.523346743	141.7	364.2	Iniskin_HB7_191019205242.wav
32	Spectrogram 1	1	1685.124713878	1685.893087509	404.7	607.1	Iniskin_HB7_191019205242.wav
33	Spectrogram 1	1	1710.982156946	1712.084606069	141.7	404.7	Iniskin_HB7_191019205242.wav
34	Spectrogram 1	1	1733.011132378	1734.213804148	425.0	667.8	Iniskin_HB7_191019205242.wav
35	Spectrogram 1	1	1790.351887296	1791.988857206	80.9	465.4	Iniskin_HB7_191019205242.wav
36	Spectrogram 1	1	1821.688168430	1822.456542061	505.9	728.5	Iniskin_HB7_191019205242.wav
37	Spectrogram 1	1	1827.066783848	1827.868565029	445.2	728.5	Iniskin_HB7_191019205242.wav
38	Spectrogram 1	1	1836.821788210	1837.423124095	242.8	627.3	Iniskin_HB7_191019205242.wav
39	Spectrogram 1	1	1842.380841894	1842.848547583	141.7	505.9	Iniskin_HB7_191019205242.wav
40	Spectrogram 1	1	1850.565691444	1851.734955665	263.1	505.9	Iniskin_HB7_191019205242.wav
41	Spectrogram 1	1	1856.111344608	1857.247201281	222.6	425.0	Iniskin_HB7_191019205242.wav
42	Spectrogram 1	1	1873.917568323	1874.852979700	161.9	344.0	Iniskin_HB7_191019205242.wav
43	Spectrogram 1	1	1895.879728656	1897.015585329	445.2	586.8	Iniskin_HB7_191019205242.wav
44	Spectrogram 1	1	1921.904209470	1922.806213298	141.7	425.0	Iniskin_HB7_191019205242.wav
45	Spectrogram 1	1	1929.654760881	1930.322911864	242.8	465.4	Iniskin_HB7_191019205242.wav
46	Spectrogram 1	1	1948.175943648	1949.478838066	222.6	505.9	Iniskin_HB7_191019205242.wav
47	Spectrogram 1	1	2114.853000534	2116.623600640	60.7	465.4	Iniskin_HB7_191019205242.wav
48	Spectrogram 1	1	4070.211567256	4072.015574912	80.9	425.0	Iniskin_HB7_191019205242.wav
49	Spectrogram 1	1	4260.574576513	4262.645844562	80.9	526.1	Iniskin_HB7_191019205242.wav
50	Spectrogram 1	1	4488.013358853	4489.583513665	101.2	465.4	Iniskin_HB7_191019205242.wav
51	Spectrogram 1	1	4795.663666783	4797.033376299	80.9	465.4	Iniskin_HB7_191019205242.wav
52	Spectrogram 1	1	5807.265013085	5809.002205642	101.2	526.1	Iniskin_HB7_191019205242.wav
