Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	252.748304102	253.550085282	99.7	478.4	Chinitna_HB16_191116071806.wav
2	Spectrogram 1	1	332.752777886	334.824045935	79.7	538.2	Chinitna_HB16_191116071806.wav
3	Spectrogram 1	1	778.750540994	779.953212764	95.2	571.4	Chinitna_HB16_191116071806.wav
4	Spectrogram 1	1	959.625806282	961.296183742	76.2	495.2	Chinitna_HB16_191116071806.wav
5	Spectrogram 1	1	1000.463231904	1001.933164068	152.4	400.0	Chinitna_HB16_191116071806.wav
6	Spectrogram 1	1	1035.487743968	1036.757230837	76.2	476.2	Chinitna_HB16_191116071806.wav
7	Spectrogram 1	1	1107.594635625	1108.864122494	76.2	476.2	Chinitna_HB16_191116071806.wav
8	Spectrogram 1	1	1168.910888897	1170.982156946	76.2	552.4	Chinitna_HB16_191116071806.wav
9	Spectrogram 1	1	1297.991052431	1299.995505382	95.2	476.2	Chinitna_HB16_191116071806.wav
10	Spectrogram 1	1	1356.714917386	1357.950996706	209.5	514.3	Chinitna_HB16_191116071806.wav
11	Spectrogram 1	1	1451.538942488	1452.607984062	114.3	457.1	Chinitna_HB16_191116071806.wav
12	Spectrogram 1	1	1721.605757586	1722.507761414	114.3	514.3	Chinitna_HB16_191116071806.wav
13	Spectrogram 1	1	1793.358566722	1794.694868690	133.3	476.2	Chinitna_HB16_191116071806.wav
14	Spectrogram 1	1	1827.033376299	1828.703753758	95.2	514.3	Chinitna_HB16_191116071806.wav
15	Spectrogram 1	1	1866.901982995	1867.737171724	95.2	476.2	Chinitna_HB16_191116071806.wav
16	Spectrogram 1	1	1868.639175552	1869.574586929	228.6	457.1	Chinitna_HB16_191116071806.wav
17	Spectrogram 1	1	1956.828498886	1959.066804682	95.2	590.5	Chinitna_HB16_191116071806.wav
18	Spectrogram 1	1	1993.409765242	1994.913104955	76.2	438.1	Chinitna_HB16_191116071806.wav
19	Spectrogram 1	1	2072.478827649	2073.948759813	133.3	457.1	Chinitna_HB16_191116071806.wav
20	Spectrogram 1	1	2156.979920054	2158.850742808	114.3	438.1	Chinitna_HB16_191116071806.wav
21	Spectrogram 1	1	2183.986620314	2185.322922281	133.3	438.1	Chinitna_HB16_191116071806.wav
22	Spectrogram 1	1	2446.202661354	2448.040076559	76.2	495.2	Chinitna_HB16_191116071806.wav
23	Spectrogram 1	1	2535.046735152	2536.850742808	95.2	514.3	Chinitna_HB16_191116071806.wav
24	Spectrogram 1	1	2577.988836372	2579.492176086	76.2	342.9	Chinitna_HB16_191116071806.wav
25	Spectrogram 1	1	2654.719370337	2655.788411911	95.2	552.4	Chinitna_HB16_191116071806.wav
26	Spectrogram 1	1	2908.603531111	2910.607984062	57.1	495.2	Chinitna_HB16_191116071806.wav
27	Spectrogram 1	1	2921.612468263	2923.115807976	76.2	533.3	Chinitna_HB16_191116071806.wav
28	Spectrogram 1	1	2995.322922281	2996.158111011	76.2	438.1	Chinitna_HB16_191116071806.wav
29	Spectrogram 1	1	3084.314026796	3085.817366509	76.2	457.1	Chinitna_HB16_191116071806.wav
30	Spectrogram 1	1	3136.042313451	3138.046766402	114.3	647.6	Chinitna_HB16_191116071806.wav
31	Spectrogram 1	1	3162.634722601	3163.904209470	76.2	533.3	Chinitna_HB16_191116071806.wav
32	Spectrogram 1	1	3237.013327603	3238.884150357	57.1	571.4	Chinitna_HB16_191116071806.wav
33	Spectrogram 1	1	3380.204877413	3382.910888897	114.3	628.6	Chinitna_HB16_191116071806.wav
34	Spectrogram 1	1	3463.850774058	3465.354113771	95.2	457.1	Chinitna_HB16_191116071806.wav
35	Spectrogram 1	1	3544.576813405	3545.579039880	76.2	438.1	Chinitna_HB16_191116071806.wav
36	Spectrogram 1	1	3555.567897086	3557.171459447	76.2	381.0	Chinitna_HB16_191116071806.wav
37	Spectrogram 1	1	3605.759436479	3607.229368643	76.2	438.1	Chinitna_HB16_191116071806.wav
38	Spectrogram 1	1	3719.238274545	3720.407538767	114.3	533.3	Chinitna_HB16_191116071806.wav
39	Spectrogram 1	1	3731.512245615	3733.349660820	95.2	514.3	Chinitna_HB16_191116071806.wav
40	Spectrogram 1	1	3847.997763108	3850.035623608	95.2	495.2	Chinitna_HB16_191116071806.wav
41	Spectrogram 1	1	3978.781711651	3980.084606069	95.2	361.9	Chinitna_HB16_191116071806.wav
42	Spectrogram 1	1	3996.554527816	3997.523346743	152.4	514.3	Chinitna_HB16_191116071806.wav
43	Spectrogram 1	1	4075.723812871	4077.060114839	114.3	476.2	Chinitna_HB16_191116071806.wav
44	Spectrogram 1	1	4250.318458913	4251.955428823	114.3	590.5	Chinitna_HB16_191116071806.wav
45	Spectrogram 1	1	4419.567897086	4421.037829250	133.3	514.3	Chinitna_HB16_191116071806.wav
46	Spectrogram 1	1	4581.267229143	4582.570123562	95.2	419.0	Chinitna_HB16_191116071806.wav
47	Spectrogram 1	1	4632.895293151	4634.432040414	95.2	419.0	Chinitna_HB16_191116071806.wav
48	Spectrogram 1	1	4690.436493365	4691.605757586	228.6	476.2	Chinitna_HB16_191116071806.wav
49	Spectrogram 1	1	4766.832951837	4768.302884001	95.2	533.3	Chinitna_HB16_191116071806.wav
50	Spectrogram 1	1	5766.861885602	5768.565670611	76.2	533.3	Chinitna_HB16_191116071806.wav
