Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	88.075700167	89.077926643	440.0	640.0	Chinitna_HB7_191023202155.wav
2	Spectrogram 1	1	93.387500487	94.189281668	360.0	660.0	Chinitna_HB7_191023202155.wav
3	Spectrogram 1	1	98.298410217	99.167006496	380.0	600.0	Chinitna_HB7_191023202155.wav
4	Spectrogram 1	1	103.710433185	104.411991718	400.0	680.0	Chinitna_HB7_191023202155.wav
5	Spectrogram 1	1	108.587935366	109.790607136	480.0	620.0	Chinitna_HB7_191023202155.wav
6	Spectrogram 1	1	113.746098460	115.182623074	420.0	620.0	Chinitna_HB7_191023202155.wav
7	Spectrogram 1	1	1155.547869223	1156.550095699	480.0	660.0	Chinitna_HB7_191023202155.wav
8	Spectrogram 1	1	1160.291741207	1161.461005429	360.0	520.0	Chinitna_HB7_191023202155.wav
9	Spectrogram 1	1	1163.231605535	1164.167016913	300.0	620.0	Chinitna_HB7_191023202155.wav
10	Spectrogram 1	1	1168.242737913	1169.445409684	300.0	580.0	Chinitna_HB7_191023202155.wav
11	Spectrogram 1	1	1172.652534405	1173.420908036	260.0	680.0	Chinitna_HB7_191023202155.wav
12	Spectrogram 1	1	1189.824014685	1190.926463808	380.0	580.0	Chinitna_HB7_191023202155.wav
13	Spectrogram 1	1	6043.409765242	6044.278361521	380.0	660.0	Chinitna_HB7_191023202155.wav
14	Spectrogram 1	1	6064.336291551	6065.338518026	400.0	640.0	Chinitna_HB7_191023202155.wav
15	Spectrogram 1	1	6073.824035519	6074.592409150	180.0	340.0	Chinitna_HB7_191023202155.wav
