Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	455.852990117	457.456552478	77.0	462.3	Chinitna_HB5.2_191019205208.wav
2	Spectrogram 1	1	502.236068903	504.474374698	77.0	481.5	Chinitna_HB5.2_191019205208.wav
3	Spectrogram 1	1	678.501092404	680.438730257	57.8	500.8	Chinitna_HB5.2_191019205208.wav
4	Spectrogram 1	1	865.289493898	866.258312825	77.0	385.2	Chinitna_HB5.2_191019205208.wav
5	Spectrogram 1	1	1239.481033292	1240.717112611	192.6	462.3	Chinitna_HB5.2_191019205208.wav
6	Spectrogram 1	1	1556.565670611	1558.135825422	96.3	462.3	Chinitna_HB5.2_191019205208.wav
7	Spectrogram 1	1	1607.158100594	1608.995515799	77.0	462.3	Chinitna_HB5.2_191019205208.wav
8	Spectrogram 1	1	1740.494423395	1742.265023501	77.0	462.3	Chinitna_HB5.2_191019205208.wav
9	Spectrogram 1	1	1818.681489003	1820.184828717	57.8	423.8	Chinitna_HB5.2_191019205208.wav
10	Spectrogram 1	1	2325.708237959	2327.044539927	57.8	385.2	Chinitna_HB5.2_191019205208.wav
11	Spectrogram 1	1	3974.772805749	3976.643628503	77.0	423.8	Chinitna_HB5.2_191019205208.wav
12	Spectrogram 1	1	4347.661450724	4349.832941421	57.8	404.5	Chinitna_HB5.2_191019205208.wav
