Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	14.532283895	16.102438706	104.0	395.1	Chinitna_HB6.1_191020205157.wav
2	Spectrogram 1	1	171.387521321	173.291751624	62.4	291.2	Chinitna_HB6.1_191020205157.wav
3	Spectrogram 1	1	336.928721534	338.766136739	76.1	266.2	Chinitna_HB6.1_191020205157.wav
4	Spectrogram 1	1	415.082379594	417.020017446	57.1	399.4	Chinitna_HB6.1_191020205157.wav
5	Spectrogram 1	1	543.173717172	544.810687082	57.1	285.3	Chinitna_HB6.1_191020205157.wav
6	Spectrogram 1	1	595.590161841	597.728244989	76.1	361.3	Chinitna_HB6.1_191020205157.wav
7	Spectrogram 1	1	647.852969284	649.590161841	114.1	494.5	Chinitna_HB6.1_191020205157.wav
8	Spectrogram 1	1	714.861906436	716.432061247	95.1	228.2	Chinitna_HB6.1_191020205157.wav
9	Spectrogram 1	1	772.503329297	773.973261461	76.1	380.3	Chinitna_HB6.1_191020205157.wav
10	Spectrogram 1	1	799.697074332	801.033376299	95.1	399.4	Chinitna_HB6.1_191020205157.wav
11	Spectrogram 1	1	885.347423928	887.351876879	38.0	323.3	Chinitna_HB6.1_191020205157.wav
12	Spectrogram 1	1	941.886397666	943.523367576	57.1	437.4	Chinitna_HB6.1_191020205157.wav
13	Spectrogram 1	1	991.409786076	993.714906969	76.1	513.5	Chinitna_HB6.1_191020205157.wav
14	Spectrogram 1	1	1024.917557906	1026.988825956	57.1	304.3	Chinitna_HB6.1_191020205157.wav
15	Spectrogram 1	1	1105.957665715	1108.229379060	76.1	551.5	Chinitna_HB6.1_191020205157.wav
16	Spectrogram 1	1	1180.536716012	1182.674799160	57.1	494.5	Chinitna_HB6.1_191020205157.wav
17	Spectrogram 1	1	1189.723792038	1191.628022341	76.1	513.5	Chinitna_HB6.1_191020205157.wav
18	Spectrogram 1	1	1377.962118666	1379.999979167	76.1	475.4	Chinitna_HB6.1_191020205157.wav
19	Spectrogram 1	1	1772.498855512	1774.169232971	76.1	456.4	Chinitna_HB6.1_191020205157.wav
20	Spectrogram 1	1	2142.714896553	2144.619126856	76.1	456.4	Chinitna_HB6.1_191020205157.wav
21	Spectrogram 1	1	2286.006669010	2287.944306862	76.1	437.4	Chinitna_HB6.1_191020205157.wav
22	Spectrogram 1	1	2407.035613191	2408.639175552	76.1	323.3	Chinitna_HB6.1_191020205157.wav
23	Spectrogram 1	1	2562.521141101	2564.559001601	95.1	475.4	Chinitna_HB6.1_191020205157.wav
24	Spectrogram 1	1	2693.037829250	2695.209319947	57.1	494.5	Chinitna_HB6.1_191020205157.wav
25	Spectrogram 1	1	3207.681499420	3209.919805215	38.0	532.5	Chinitna_HB6.1_191020205157.wav
26	Spectrogram 1	1	3410.184849550	3412.022264755	76.1	513.5	Chinitna_HB6.1_191020205157.wav
27	Spectrogram 1	1	4127.786175019	4129.089069437	57.1	380.3	Chinitna_HB6.1_191020205157.wav
28	Spectrogram 1	1	4706.285072197	4707.053445829	247.2	646.6	Chinitna_HB6.1_191020205157.wav
29	Spectrogram 1	1	4710.895313985	4711.730502714	95.1	418.4	Chinitna_HB6.1_191020205157.wav
30	Spectrogram 1	1	4715.204887829	4716.040076559	133.1	323.3	Chinitna_HB6.1_191020205157.wav
31	Spectrogram 1	1	4718.011121961	4718.412012551	95.1	399.4	Chinitna_HB6.1_191020205157.wav
32	Spectrogram 1	1	4766.131393305	4766.565691444	361.3	513.5	Chinitna_HB6.1_191020205157.wav
33	Spectrogram 1	1	4770.507782248	4771.276155879	95.1	323.3	Chinitna_HB6.1_191020205157.wav
34	Spectrogram 1	1	4778.191518560	4779.227152584	114.1	323.3	Chinitna_HB6.1_191020205157.wav
35	Spectrogram 1	1	4781.164790437	4782.367462208	76.1	380.3	Chinitna_HB6.1_191020205157.wav
36	Spectrogram 1	1	4785.474364282	4786.509998306	266.2	551.5	Chinitna_HB6.1_191020205157.wav
37	Spectrogram 1	1	4785.674809577	4785.674809577	3670.4	3670.4	Chinitna_HB6.1_191020205157.wav
38	Spectrogram 1	1	4790.184828717	4790.919794799	247.2	399.4	Chinitna_HB6.1_191020205157.wav
39	Spectrogram 1	1	4795.095738447	4795.964334725	114.1	342.3	Chinitna_HB6.1_191020205157.wav
40	Spectrogram 1	1	4803.748293685	4804.650297513	114.1	304.3	Chinitna_HB6.1_191020205157.wav
41	Spectrogram 1	1	4853.973240627	4854.574576513	228.2	665.6	Chinitna_HB6.1_191020205157.wav
42	Spectrogram 1	1	4860.621342915	4861.222678800	190.2	494.5	Chinitna_HB6.1_191020205157.wav
43	Spectrogram 1	1	4867.216030624	4868.118034452	152.1	589.5	Chinitna_HB6.1_191020205157.wav
44	Spectrogram 1	1	4871.859679960	4872.928721534	418.4	665.6	Chinitna_HB6.1_191020205157.wav
45	Spectrogram 1	1	5078.171490697	5079.908683254	57.1	380.3	Chinitna_HB6.1_191020205157.wav
46	Spectrogram 1	1	5274.948749397	5276.886387249	76.1	323.3	Chinitna_HB6.1_191020205157.wav
47	Spectrogram 1	1	6084.046745569	6085.182602241	95.1	247.2	Chinitna_HB6.1_191020205157.wav
48	Spectrogram 1	1	6441.066804682	6442.670367043	57.1	399.4	Chinitna_HB6.1_191020205157.wav
49	Spectrogram 1	1	6463.082379594	6464.919794799	76.1	456.4	Chinitna_HB6.1_191020205157.wav
50	Spectrogram 1	1	6556.249427756	6557.418691978	190.2	418.4	Chinitna_HB6.1_191020205157.wav
51	Spectrogram 1	1	6670.262786609	6671.532273478	190.2	456.4	Chinitna_HB6.1_191020205157.wav
52	Spectrogram 1	1	6792.861885602	6794.999968750	76.1	475.4	Chinitna_HB6.1_191020205157.wav
53	Spectrogram 1	1	7848.407559600	7849.376378526	114.1	323.3	Chinitna_HB6.1_191020205157.wav
