Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	95.569552198	97.494330764	175.1	379.4
2	Spectrogram 1	1	107.616011150	108.545214595	19.5	253.0
3	Spectrogram 1	1	110.403621486	112.029727515	175.1	321.1
4	Spectrogram 1	1	144.324439665	145.585501483	9.7	204.3
5	Spectrogram 1	1	147.045678326	148.107625120	0.0	243.2
6	Spectrogram 1	1	150.563377083	151.923996414	145.9	496.2
7	Spectrogram 1	1	153.384173256	155.939482731	0.0	398.9
8	Spectrogram 1	1	169.704147001	171.562553892	136.2	496.2
9	Spectrogram 1	1	174.316978390	176.175385281	184.9	457.3
10	Spectrogram 1	1	263.369487527	265.626124465	0.0	194.6
11	Spectrogram 1	1	281.986742270	283.944706673	19.5	369.7
12	Spectrogram 1	1	392.091955081	393.319831063	204.3	632.4
13	Spectrogram 1	1	404.968059966	406.229121785	486.5	661.6
14	Spectrogram 1	1	408.127923438	409.355799419	515.6	700.5
15	Spectrogram 1	1	410.650047075	411.811551381	145.9	642.1
16	Spectrogram 1	1	425.915038087	426.910613207	116.8	642.1
17	Spectrogram 1	1	429.034506796	430.196011103	223.8	593.5
18	Spectrogram 1	1	433.746895697	434.941585841	223.8	389.2
19	Spectrogram 1	1	459.988902646	461.548637001	0.0	398.9
20	Spectrogram 1	1	585.381951864	586.643013682	116.8	340.5
21	Spectrogram 1	1	588.335491386	589.629739042	107.0	262.7
22	Spectrogram 1	1	591.255845072	592.417349378	68.1	291.9
23	Spectrogram 1	1	594.143012920	594.839915504	29.2	262.7
24	Spectrogram 1	1	596.565579045	597.461596653	38.9	214.0
25	Spectrogram 1	1	598.789030146	599.552304405	29.2	165.4
