Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	146.655942858	147.678216516	68.8	344.0
2	Spectrogram 1	1	148.875024702	149.573162811	96.3	302.7
3	Spectrogram 1	1	201.482108103	202.504381762	137.6	357.7
4	Spectrogram 1	1	205.770670770	207.042279467	82.6	357.7
5	Spectrogram 1	1	208.114420134	209.510696351	68.8	302.7
6	Spectrogram 1	1	210.383368986	211.555243669	110.1	302.7
7	Spectrogram 1	1	212.527650320	213.849126025	68.8	330.2
8	Spectrogram 1	1	215.021000707	216.192875389	96.3	330.2
9	Spectrogram 1	1	217.364750071	218.461824242	82.6	275.2
10	Spectrogram 1	1	219.806137780	220.628943408	68.8	261.4
