Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	53.943676782	55.069045359	972.9	1216.2
2	Spectrogram 1	1	56.510923848	57.671460194	1002.1	1196.7
3	Spectrogram 1	1	104.109348577	109.173507175	126.5	544.8
4	Spectrogram 1	1	111.740754241	113.463974875	223.8	476.7
5	Spectrogram 1	1	126.160140476	130.415440409	58.4	467.0
6	Spectrogram 1	1	136.288457671	137.835839465	729.7	1284.3
7	Spectrogram 1	1	139.453556795	140.403086532	924.3	1138.3
8	Spectrogram 1	1	139.840402243	140.860267516	1527.5	1965.3
9	Spectrogram 1	1	145.201692682	149.210818239	107.0	437.8
10	Spectrogram 1	1	151.813233074	153.044104955	194.6	437.8
11	Spectrogram 1	1	154.837661125	156.314707383	720.0	1070.2
12	Spectrogram 1	1	158.037928017	159.092961058	710.2	1079.9
13	Spectrogram 1	1	161.800879197	165.634165913	126.5	496.2
14	Spectrogram 1	1	167.849735299	169.678459238	175.1	486.5
15	Spectrogram 1	1	170.663156743	172.280874072	1070.2	1381.5
16	Spectrogram 1	1	178.837923997	181.475506600	107.0	447.5
17	Spectrogram 1	1	184.113089203	186.574832966	184.9	1177.2
18	Spectrogram 1	1	188.157382528	189.177247801	992.4	1196.7
19	Spectrogram 1	1	190.900468435	191.920333708	768.6	972.9
